state_label,is_daytime,avg_power,std_power,max_power,min_power,avg_voltage,std_voltage,avg_current,std_current,total_kwh,num_bulbs_on,time_period,cluster
All_OFF,1,6.395827586206896,0.43084425847174435,9.1,5.27,232.2995,3.2879703161151563,0.029517241379310347,0.002224385027356,2.04,0,Day,1
All_ON,0,12.973560311284047,0.8452020124056511,15.58,0.0,223.32021400778208,2.9723946530709218,0.05949416342412451,0.0025241455776593203,3.36,3,Night,2
Bulb1_Bulb2,0,10.256747826086956,0.528118114551791,13.2,8.88,220.14850434782608,3.426882227468468,0.04784347826086957,0.00420011469966955,3.56,2,Night,0
Bulb1_Bulb3,0,10.399174311926606,0.4520473211238385,11.48,9.19,221.9851376146789,2.4689967419683874,0.048348623853211016,0.003721592609853223,2.18,2,Night,0
Bulb1_Bulb3,1,10.329862258953167,0.42109661203291715,11.81,9.33,217.6809917355372,11.794878282961472,0.04931129476584022,0.002535833627498806,1.37,2,Day,0
Bulb2_Bulb3,1,9.538477876106194,0.4184564912381109,11.15,8.32,222.30385840707964,2.5221111515488333,0.04107964601769912,0.0031061069820104738,3.41,2,Day,0
Only_Bulb1,0,7.696666666666666,0.17243356208503427,7.85,7.51,224.26999999999998,1.9382724266727682,0.03,0.0,0.0,1,Night,1
Only_Bulb1,1,7.764735915492958,0.42040368688008706,9.72,6.9,220.26042253521126,2.6913718362262147,0.034823943661971835,0.005001303950993614,2.68,1,Day,0
Only_Bulb2,1,7.231264367816092,0.6549251843943821,9.05,0.0,228.10318007662835,6.274515729617266,0.030344827586206897,0.0023746627336982537,3.6,1,Day,1
Only_Bulb3,1,8.32034420289855,0.3844703963441954,9.9,7.48,236.69653985507247,2.134988828510403,0.034945652173913044,0.00500423950306381,2.65,1,Day,1
